"SID","lat_WGS84","long_WGS84","POINT_X","POINT_Y"
205909,31.01845,-93.42082,245488.3026,885849.0995
205910,31.011644,-93.424627,245146.5486,885082.6482
205911,31.013727,-93.424894,245114.8632,885313.5259
205912,31.017145,-93.418801,245684.3662,885709.2393
205913,31.014951,-93.425525,245051.1284,885447.9708
205914,31.011703,-93.423631,245241.1553,885091.7769
205915,31.011112,-93.42435,245174.5127,885024.2206
205916,31.014231,-93.424854,245117.1511,885369.6588
206001,33.419901,-91.725904,394690.4927,1159046.85
206002,33.420643,-91.726063,394672.0946,1159128.966
206003,33.421923,-91.72862,394429.7083,1159261.145
206004,33.421055,-91.729057,394393.7366,1159162.499
206101,30.617589,-94.894095,105790.3768,838570.9192
206102,30.616262,-94.894213,105780.8053,838423.3414
206201,30.764242,-94.810391,113592.9897,854964.9726
206202,30.765531,-94.809876,113640.3687,855108.8551
206301,32.029658,-93.041538,278073.8679,999414.1573
206302,32.029775,-93.04063,278158.7796,999429.8448
206401,32.365319,-92.499849,327589.7295,1038530.462
206402,32.364948,-92.500098,327567.9584,1038488.27
206501,34.113775,-92.740154,298413.7491,1232810.621
206502,34.11407,-92.736712,298727.5812,1232854.389
206601,31.572134,-94.990065,95482.0612,944634.6578
206602,31.570724,-94.990715,95422.2782,944477.0369
206701,31.740817,-93.565442,229666.9461,965851.9112
206702,31.740326,-93.565349,229677.1181,965797.4731
206801,34.19171,-93.895044,192521.8134,1238535.774
206802,34.192401,-93.895363,192490.9316,1238612.352
206901,34.063315,-94.135674,170798.1109,1223727.435
206902,34.063619,-94.136397,170731.2166,1223760.107
207001,33.866538,-94.392117,147678.9333,1201310.94
207002,33.866634,-94.390732,147805.9467,1201323.818
207101,33.221442,-93.629177,219537.3105,1130749.41
207102,33.22135,-93.628273,219621.2592,1130741.231
207103,33.221308,-93.626945,219744.3228,1130739.613
207104,33.221304,-93.626325,219801.7337,1130740.601
207105,33.22128,-93.625632,219865.9587,1130739.525
207201,31.60649,-92.2975,349811.8628,954767.5285
207202,31.606327,-92.29794,349771.0195,954747.7745
207203,31.606183,-92.29825,349742.3699,954730.6131
207204,31.605857,-92.2991,349663.5156,954691.2164
207205,31.609309,-92.295391,349998.7875,955088.9193
